priority,company,region,founder_or_contact,opportunity,location_eligibility,compensation_or_funding,mobile_signal,public_contact_or_application,company_url,evidence_url,notes
1,Tether,Global/UAE,Hiring team,React Native Developer — Wallet Team,"100% remote worldwide; Bangladesh-based application explicitly possible","Compensation not published; major global fintech","Exact match: Expo, React Native, native modules, WebSockets, Swift/Kotlin, crypto wallets","https://careers.tether.io/o/react-native-developer-wallet-team-100-remote-world","https://tether.io/","https://careers.tether.io/o/react-native-developer-wallet-team-100-remote-world","Use only official Tether careers; the application says not to use AI-generated answers"
2,Alt,United States,Leore Avidar (CEO),Senior Fullstack Engineer — Frontend/Mobile,"Remote worldwide","$140k-$180k plus equity; $106M reported funding","Own flagship React Native app; native bridges, store/OTA releases, payments, lending, performance","https://wellfound.com/jobs/3642773-senior-fullstack-engineer-frontend","https://www.alt.xyz/","https://wellfound.com/jobs/3642773-senior-fullstack-engineer-frontend","Best high-paying worldwide role in this batch after Tether"
3,Tether,Global/UAE,Hiring team,Lead Software Engineer — Mobile Crypto Wallets,"100% remote; application accepts international country of residence","Compensation not published","Lead React Native wallet architecture; Expo, C++ native modules, WebSockets, Swift/Kotlin, Node","https://careers.tether.io/o/lead-software-engineer-mobile-development-crypto-wallets-100-remote-dubai/c/new","https://tether.io/","https://careers.tether.io/o/lead-software-engineer-mobile-development-crypto-wallets-100-remote-dubai/c/new","Apply only if you can honestly demonstrate mobile leadership or architecture ownership"
4,InvestEngine,United Kingdom,Hiring team,Middle/Senior Mobile Engineer — React Native,"B2B contract; listing says work from anywhere","Compensation not published; 150-person fintech","React Native, Expo SDK, native modules, CI/CD, Maestro; separate product stream being formed","https://careers.investengine.com/jobs/7272961-middle-senior-mobile-engineer-react-native","https://investengine.com/","https://careers.investengine.com/jobs/7272961-middle-senior-mobile-engineer-react-native","Requires fluent Russian in addition to B2 English; skip if you do not meet this"
5,KAST,Singapore,Hiring team,Mobile Engineer — React Native/Web3,"Singapore role; ask about relocation or international contracting","Compensation not published","One of first mobile engineers; wallet features, real-time prices, multi-chain state, secure storage","https://sg.linkedin.com/jobs/view/mobile-engineer-react-native-web3-at-kast-4423879772","https://www.kast.xyz/","https://sg.linkedin.com/jobs/view/mobile-engineer-react-native-web3-at-kast-4423879772","Fresh listing; 154 applicants when indexed, so submit quickly with a concise portfolio"
6,Miracletrade,"UAE/US/Europe/Singapore",Jordan Arrigo (founder),Frontend App Developer / Senior React Native Developer,"Remote only, but approved regions list does not include Bangladesh; ask about contractor exception","$50k-$60k","Trading terminal; real-time charts, WebSockets, Reanimated, 60fps UX, custom Swift/Kotlin modules","https://wellfound.com/jobs/3807738-frontend-app-developer","","https://wellfound.com/jobs/3807738-frontend-app-developer","Technically excellent match; geography is the blocker"
7,Tuyo,Spain/United States,"Jorge Izquierdo and Alejandro Perezpayá (founders)",Senior Software Engineer — React Native,"Onsite Madrid preferred or Miami; requires relocation/work authorization","High-tier salary plus 0.3%-0.6% equity; $5M seed","Founding-level mobile ownership for non-custodial banking app and Visa debit-card product","https://jobs.ashbyhq.com/onhires/3b9a157a-47d4-4e7e-8e2e-6cae1310fea0","https://tuyo.com/","https://jobs.ashbyhq.com/onhires/3b9a157a-47d4-4e7e-8e2e-6cae1310fea0","Strong target only if relocation is realistic; public company email: hi@tuyo.com"
8,DualEntry,"United States/Europe","Founding and hiring team",Mobile Engineer — React Native/Expo,"Remote only in EU, LATAM, or Canada; Bangladesh is not currently listed","$120k-$180k plus $40k-$60k equity","New Expo/React Native mobile role inside fast-growing AI-native finance/ERP company","https://jobs.ashbyhq.com/dualentry/e62670fe-3928-4bbe-aa3d-38940364457b","https://www.dualentry.com/","https://jobs.ashbyhq.com/dualentry/e62670fe-3928-4bbe-aa3d-38940364457b","Excellent pay but do not spend long applying unless they confirm a location exception"
9,Pliant,Germany/Europe,Hiring team,Software Engineer — Mobile React Native,"EU/UK remote; likely requires regional work authorization","Compensation not published; 4,000+ business customers","B2B payments app; builds and ships React Native features from concept to production","https://careers.speedinvest.com/companies/pliant-2/jobs/79424808-software-engineer-mobile-eu-uk-remote-m-f-d","https://www.getpliant.com/","https://careers.speedinvest.com/companies/pliant-2/jobs/79424808-software-engineer-mobile-eu-uk-remote-m-f-d","Good relocation/network target, not a straightforward Bangladesh-remote role"
10,MoneyLion,Malaysia,Hiring team,Mobile Engineer — React Native,"Kuala Lumpur; relocation/work authorization likely required","Compensation not published; established US fintech engineering hub","Large React Native app with hundreds of thousands of daily active users","https://jobs.edisonpartners.com/companies/moneylion/jobs/65287935-mobile-engineer-moneylion","https://www.moneylion.com/","https://jobs.edisonpartners.com/companies/moneylion/jobs/65287935-mobile-engineer-moneylion","Stronger brand and scale than most Malaysia-based opportunities"
