priority,company,founder_or_contact,opportunity,location_fit,funding_or_growth_signal,mobile_signal,public_contact_or_application,company_url,evidence_url,notes
1,Dreamcash,Hiring team,Senior React Native Engineer,"Remote worldwide; CET overlap preferred","Production product; 11-50 employees","Exact match: Expo Router, Reanimated, Skia, native modules, biometrics, EAS, WebSockets","https://wellfound.com/jobs/4084588-senior-react-native-engineer","https://www.dreamcash.xyz/","https://wellfound.com/jobs/4084588-senior-react-native-engineer","Best immediate target; listed compensation is $120k-$140k"
2,Fin (Tiplink Corp.),Hiring team,Mobile Engineer,"Remote is listed; verify country eligibility before investing heavily","Series A; backed by Sequoia and Circle","First mobile owner; React Native; payments and crypto wallet experience requested","https://jobs.ashbyhq.com/fin/c7735285-ba75-4f37-9315-5f918987d54b","https://www.fin.tech/","https://jobs.ashbyhq.com/fin/c7735285-ba75-4f37-9315-5f918987d54b","Listed compensation is $125k-$250k plus equity"
3,Pave Bank,"Simon Vans-Colina (co-founder/CTO); hiring team",Lead Mobile Engineer (React Native),Remote listed,"Raised $39M Series A led by Accel","Own cross-platform banking app end-to-end; CI/CD, security, performance","https://jobs.ashbyhq.com/PaveBank/55202b24-0a07-4f38-b77c-a803cd7afca9","https://pavebank.com/en","https://jobs.ashbyhq.com/PaveBank/55202b24-0a07-4f38-b77c-a803cd7afca9","Public company contact: contact@pavebank.com"
4,Vested Finance,"Viram Shah (co-founder/CEO); hiring team",Software Engineer — Mobile (React Native/Flutter),"India and remote listed; verify Bangladesh eligibility","Recently closed Series A and expanding products/markets","Senior mobile architecture and cross-border financial products","https://wellfound.com/jobs/4417481-software-engineer-mobile-react-native-flutter","https://vestedfinance.com/","https://wellfound.com/jobs/4417481-software-engineer-mobile-react-native-flutter","Public support channel: help@vestedfinance.co"
5,Mal,"Abdallah Abu-Sheikh (founder); careers team","Direct application or targeted mobile-product pitch","UAE; company says it is growing globally","Raised $230M seed; discussing Bangladesh expansion","AI-native Islamic digital bank; mobile-first products; app is in early waitlist stage","https://careers.mal.ai/","https://mal.ai/","https://www.semafor.com/article/01/20/2026/islamic-bank-mal-raises-230m-in-gulfs-largest-seed-round","Public company contact: contact@mal.ai; strong Bangladesh/Muslim-market angle"
6,Daya,"Tomiwa 'Aleph' Lasebikan and Paul Joe (co-founders)","Targeted mobile performance/growth pitch","Nigeria/Africa; remote eligibility unknown","Raised $2.4M pre-seed in June 2026; reported 40%+ month-on-month growth","Daya Business and Daya Pro apps are live; financial dashboard and wallet flows","https://daya.co/downloads","https://daya.co/","https://techcabal.com/2026/06/24/daya-pre-seed-raise/","Use the company LinkedIn/X links or site sales form; no verified public hiring email found"
7,Seapoint,"Sean Mullaney (founder/CEO)","Careers application plus mobile companion-app pitch","Europe-based team; verify remote eligibility","€10M total raised; €7.5M seed; 20-person team; 80+ customers","Current product appears web-first; approvals, cards, invoices and founder alerts are plausible mobile workflows","https://apply.workable.com/seapoint/","https://www.seapoint.co/","https://www.seapoint.co/about-us","Contact through careers or company LinkedIn; do not claim they have committed to a mobile app"
8,Finbuddy,Founder via Upwork,"Full-stack React Native/Expo personal-finance MVP contract","Worldwide","$5k-$7k fixed-price budget; contract-to-hire","Exact stack: Expo Router, Supabase/Postgres, biometrics, offline storage, Plaid/GoCardless","https://www.upwork.com/freelance-jobs/apply/Full-Stack-Mobile-Developer-React-Native-Expo-needed-build-Personal-Finance-App_~022010778079965812962/","","https://www.upwork.com/freelance-jobs/apply/Full-Stack-Mobile-Developer-React-Native-Expo-needed-build-Personal-Finance-App_~022010778079965812962/","High competition and client has already interviewed many applicants; apply only with a tailored architecture note"
9,Fintalo,"Marius Fischer (co-founder/managing director)","Cold pitch for mobile deal-room companion or focused prototype","Germany; remote eligibility unknown","Raised about €430k pre-seed in January 2026 to expand product and team","Current AI-native M&A operating system appears web-first","mailto:info@fintalo.com","https://www.fintalo.com/","https://www.munich-startup.de/en/116209/fintalo-receives-pre-seed-funding/","Lower-confidence mobile need; lead with a concrete workflow prototype rather than a generic app offer"
10,Backpack,Hiring team,Mobile Engineer (React Native),"Listing says US remote, but description says relocation/visa and remote for the right candidate","86 employees; more than 1M users","React Native exchange/wallet app; end-to-end feature ownership","https://jobs.backpack.app/","https://backpack.exchange/","https://builtin.com/job/mobile-engineer-react-native/8309957","Worth one application; treat location as uncertain, not worldwide"
